month,year,oilCompanies,quantity000MetricTonnes
February,2022,"IOCL-BARAUNI,BIHAR",529
February,2022,"IOCL-KOYALI, GUJARAT",1200
February,2022,"IOCL-DIGBOI,ASSAM",50
February,2022,"IOCL-PARADIP,ODISHA",1211
February,2022,BORL-BINA,594
February,2022,"HPCL-MUMBAI,MAHARASHTRA",748
February,2022,"RIL,JAMNAGAR,GUJARAT",2777
February,2022,"RIL-(SEZ), JAMNAGAR,GUJARAT",2013
February,2022,GRAND TOTAL,20443
March,2022,"IOCL-KOYALI, GUJARAT",1338
March,2022,"IOCL-PARADIP,ODISHA",1383
March,2022,CPCL-TOTAL,1062
March,2022,BORL-BINA,704
March,2022,"NRL-NUMALIGARH, ASSAM",188
March,2022,ONGC TOTAL,1510
March,2022,"RIL,JAMNAGAR,GUJARAT",3056
March,2022,"RIL-(SEZ), JAMNAGAR,GUJARAT",2074
April,2020,"IOCL-MATHURA, UTTAR PRADESH",506
April,2020,"IOCL-PANIPAT, HARYANA",457
April,2020,"IOCL-GUWAHATI,ASSAM",NA
April,2020,"IOCL-PARADIP,ODISHA",725
April,2020,BORL-BINA,332
April,2020,"HMEL-GGSR, BATHINDA, PUNJAB",593
May,2020,"IOCL-PANIPAT, HARYANA",919
May,2020,"ONGC-TATIPAKA,ANDHRA PRADESH",6
May,2020,"HPCL-VISAKH,ANDHRA PRADESH",743
May,2020,HPCL-TOTAL,1920
May,2020,RIL TOTAL,5312
May,2020,GRAND TOTAL,16347
June,2020,"IOCL-BARAUNI,BIHAR",512
June,2020,"IOCL-HALDIA, WEST BENGAL",533
June,2020,"IOCL-GUWAHATI,ASSAM",64
June,2020,"NRL-NUMALIGARH, ASSAM",250
June,2020,"RIL,JAMNAGAR,GUJARAT",2605
June,2020,"RIL-(SEZ), JAMNAGAR,GUJARAT",2047
June,2020,"NEL-VADINAR,GUJARAT",1394
July,2020,"IOCL-MATHURA, UTTAR PRADESH",754
July,2020,"IOCL-PANIPAT, HARYANA",1115
July,2020,"BPCL-KOCHI, KERALA",844
July,2020,"MRPL-MANGALORE,KARNATAKA",766
August,2020,"IOCL-BARAUNI,BIHAR",318
August,2020,"IOCL-GUWAHATI,ASSAM",89
August,2020,BORL-BINA,451
August,2020,HPCL-TOTAL,2357
August,2020,"RIL-(SEZ), JAMNAGAR,GUJARAT",1369
August,2020,"NEL-VADINAR,GUJARAT",1539
September,2020,"IOCL-BARAUNI,BIHAR",376
September,2020,"IOCL-PANIPAT, HARYANA",1025
September,2020,"IOCL-DIGBOI,ASSAM",46
September,2020,"NEL-VADINAR,GUJARAT",1460
September,2020,GRAND TOTAL,17707
October,2020,"IOCL-KOYALI, GUJARAT",1049
October,2020,IOCL TOTAL,5662
October,2020,"CPCL-MANALI, TAMILNADU",725
October,2020,CPCL-TOTAL,725
November,2020,"IOCL-BARAUNI,BIHAR",579
November,2020,"IOCL-PANIPAT, HARYANA",1359
November,2020,"IOCL-GUWAHATI,ASSAM",83
November,2020,BORL-BINA,594
